id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-15782,KPrS2,3,K-Pr-S,2.2688,False,False,Trigonal,7.740129448832785,7.740129448832785,7.74012955682192,31.653997004752718,31.653997004752718,31.65399559259593,20371.180699563607
mp-15783,KSmS2,3,K-S-Sm,2.2759,False,False,Trigonal,7.705653553508751,7.705653553508751,7.705654008947759,31.11883066500928,31.11883066500928,31.11883305256675,15760.30740707217
mp-15784,KGdS2,3,Gd-K-S,1.8308,False,True,Trigonal,4.090330005119855,4.090330005119855,7.698052555543023,74.59304686771655,74.59304686771655,60.00000024068043,57321.152337685366
mp-15786,KHoS2,3,Ho-K-S,2.3505000000000003,False,False,Trigonal,7.664262268074124,7.664262268074124,7.664262116623797,30.393489940820547,30.393489940820547,30.393487868578443,10893.85660469346
mp-15789,LiDyS2,3,Dy-Li-S,1.9346999999999999,False,False,Trigonal,6.538556090421572,6.538556090421572,6.538556624971432,34.69126194980975,34.69126194980975,34.691265517043576,14715.461795770772
mp-15790,LiHoS2,3,Ho-Li-S,1.9863000000000004,False,False,Trigonal,6.530563576715631,6.530563576715631,6.530564114932555,34.56706490950561,34.56706490950561,34.56706205157215,13564.722389233295
mp-15792,LiGdSe2,3,Gd-Li-Se,1.1717,False,False,Trigonal,6.883353496742312,6.883353496742312,6.883354298837991,34.68377181047405,34.68377181047405,34.683770582256045,171009.53476743092
mp-15793,LiTbSe2,3,Li-Se-Tb,1.5013,False,False,Trigonal,6.88226802897787,6.88226802897787,6.882267548164714,34.40932483468379,34.40932483468379,34.4093241832127,50319.74117619082
mp-15795,LiDySe2,3,Dy-Li-Se,1.5347999999999997,False,False,Trigonal,6.869107181534826,6.869107181534826,6.869107881911674,34.298846691299126,34.298846691299126,34.29883742353378,40818.40492388801
mp-15796,LiHoSe2,3,Ho-Li-Se,1.5729000000000002,False,False,Trigonal,6.851865056001133,6.851865056001133,6.851865853264973,34.253730872788296,34.253730872788296,34.253723800840845,34601.301222424016
