Formule,Ele,BG,Structure,CA
Ca(MgAs)2,As-Ca-Mg,1.2605000000000004,5,152036.75370760105
Sr(MgSb)2,Mg-Sb-Sr,0.9813,5,426183.8154045048
NaBeAs,As-Be-Na,1.2874000000000003,4,344224.0006657944
AlAgO2,Ag-Al-O,1.4090999999999996,4,15494.023639725978
WS2,S-W,1.6021,5,103099.98882202672
LiBeP,Be-Li-P,1.1585,2,24947.89960466696
LuTlS2,Lu-S-Tl,1.3485000000000005,5,20874.396445337843
LuCuS2,Cu-Lu-S,1.4584,5,287893.22871457896
LiScS2,Li-S-Sc,1.4856999999999996,5,100904.26439728268
KNdS2,K-Nd-S,2.2595,5,18724.805950236783
KYS2,K-S-Y,2.3221,5,11574.391097217182
KSmSe2,K-Se-Sm,1.8906000000000005,5,61579.97458859004
KLuS2,K-Lu-S,2.4307,5,8706.44441901408
Cl2,Cl,2.2818,3,26178.059046736627
BrCl,Br-Cl,1.8129,3,76540.63894173676
BeSiAs2,As-Be-Si,1.0226000000000006,2,141560.00029459264
Cs2Se,Cs-Se,1.7952,1,50295.285326278514
ZrZnN2,N-Zn-Zr,1.99,5,43983.01327352534
HfZnN2,Hf-N-Zn,2.3179,5,25706.096506972357
LuTlTe2,Lu-Te-Tl,1.0288999999999993,5,323311.4651100277
LuAgO2,Ag-Lu-O,2.2177999999999995,5,9396.333517746649
KInO2,In-K-O,2.0775,5,19465.210263343168
VI2,I-V,1.0370000000000004,5,14634.372958074411
KMgP,K-Mg-P,1.6589,2,80418.23227536392
KMgAs,As-K-Mg,1.1621,2,133408.305176525
PrHSe,H-Pr-Se,1.9162000000000003,4,47523.78284468559
NbTl3Se4,Nb-Se-Tl,2.1041,1,245511.68218205395
Tl3VSe4,Se-Tl-V,1.5636,1,470607.3647971522
Li2SnN2,Li-N-Sn,1.6967,5,49730.01368701017
SrHfN2,Hf-N-Sr,1.5456999999999996,2,45849.614884283765
CsH,Cs-H,2.3475,1,42008.82153760337
TmTlS2,S-Tl-Tm,1.3817000000000004,5,20778.60387972989
TmTlSe2,Se-Tl-Tm,1.1879,5,42001.76584165741
YTlSe2,Se-Tl-Y,1.2608,5,46905.315617842825
K2PdS2,K-Pd-S,1.117,3,476035.6558126921
Sr2BBrN2,B-Br-N-Sr,2.4076,5,2764.507595137664
Na3PSe4,Na-P-Se,1.1168999999999998,1,36186.58881281662
Li2H6Pt,H-Li-Pt,2.8838,1,3650.279108370517
Sr2H6Os,H-Os-Sr,2.4354,1,5333.936728047256
CsHoS2,Cs-Ho-S,2.2237,4,12745.348062088522
Sr2FeH6,Fe-H-Sr,1.3141999999999998,1,22921.881448301054
CsTmS2,Cs-S-Tm,2.224,4,11260.528923954664
NdAlH6,Al-H-Nd,2.0357,5,16082.100985168625
LaAlH6,Al-H-La,2.4765,5,10597.695612192
LiAuF6,Au-F-Li,1.8673,5,88774.50888480862
PrAlH6,Al-H-Pr,2.0349,5,15577.322617884412
BaAgSeF,Ag-Ba-F-Se,1.2693,2,82464.90636713736
Ca2H6Ru,Ca-H-Ru,2.4473,1,5680.61691609045
SrAgTeF,Ag-F-Sr-Te,1.2846999999999995,2,88931.48205865643
ScAlCO,Al-C-O-Sc,1.2166999999999994,4,128669.022566612
Mg3SbN,Mg-N-Sb,1.6233999999999993,1,302845.50573237933
BaAgSF,Ag-Ba-F-S,1.4324,2,61897.51098990184
CsLuS2,Cs-Lu-S,2.2447000000000004,4,10227.50186905554
NbTl3S4,Nb-S-Tl,2.458,1,51855.79119848491
NbCoSn,Co-Nb-Sn,0.9703999999999996,1,986308.778333302
Li2HfN2,Hf-Li-N,1.9346,5,27588.10576509344
TaSnRh,Rh-Sn-Ta,1.0594,1,1101466.5710065786
ZrSbRh,Rh-Sb-Zr,1.1648000000000005,1,720506.0332815852
TeO3,O-Te,2.1595,6,9083.16505447247
Cs3VSe4,Cs-Se-V,1.4894,1,159730.863538728
CsLaO2,Cs-La-O,2.9322,4,3256.621349689182
AlWO4,Al-O-W,2.9803,3,24754.62754356279
AcGaO3,Ac-Ga-O,2.895900000000001,1,3060.4636529352174
CsPaO3,Cs-O-Pa,2.9729999999999994,1,6191.636302835128
Cs2HgTe,Cs-Hg-Te,1.8046,1,517565.36927246576
MgS2,Mg-S,1.1336999999999997,5,71892.4583051441
Na2CeF6,Ce-F-Na,2.226,5,133912.66255831675
Ca2FeH6,Ca-Fe-H,1.5002999999999995,1,19923.860694154773
LaBi2ClO4,Bi-Cl-La-O,1.3154000000000003,2,43497.838632799874
Mg3AsN,As-Mg-N,2.2818,1,203700.74647530605
Cs2PdCl6,Cl-Cs-Pd,1.3617,1,251837.91728825367
ErHSe,Er-H-Se,1.4817000000000005,4,54665.96725517442
Lu2SeO2,Lu-O-Se,2.0255,5,5248.936571749499
LuHSe,H-Lu-Se,1.4615,4,47177.07345299803
TbHSe,H-Se-Tb,1.5054999999999996,4,59144.34885439893
LiMgSb,Li-Mg-Sb,1.4438,1,178922.06883582985
SiPAu,Au-P-Si,1.0382000000000002,5,352669.7728172729
DyHSe,Dy-H-Se,1.4876999999999994,4,59218.02762936727
NdHSe,H-Nd-Se,1.6838000000000006,4,65144.42134392196
Ca2H6Os,Ca-H-Os,2.7001,1,4718.6590471256495
Rb2TcCl6,Cl-Rb-Tc,1.2635,1,95943.15645050892
TmPaO4,O-Pa-Tm,2.434,2,6097.258321963763
TlInF6,F-In-Tl,2.6572,5,2913.005631193996
Th2PNO,N-O-P-Th,1.3129,5,231430.30314618337
TaCu3Se3S,Cu-S-Se-Ta,1.6491000000000002,5,198385.4888878464
ScPaO4,O-Pa-Sc,2.493500000000001,2,6505.17754420494
NaLaS2,La-Na-S,2.5989,5,12565.83902681325
NaPrS2,Na-Pr-S,2.1807000000000003,5,21674.010498774544
NaLiCdS2,Cd-Li-Na-S,1.6168999999999998,5,68855.13947221896
NaBiSe2,Bi-Na-Se,1.0922999999999998,5,389492.8045494928
NaBiTe2,Bi-Na-Te,1.0652999999999997,5,848135.6319908629
NaBiS2,Bi-Na-S,1.4468999999999994,5,164046.51320189785
LuPaO4,Lu-O-Pa,2.4908,2,5971.548679810313
LiSmS2,Li-S-Sm,1.9482,5,25241.395956409604
LiGdS2,Gd-Li-S,1.6532000000000004,5,88403.1985059801
LiBiS2,Bi-Li-S,1.4793000000000005,5,151372.08643563604
Li2ZnCdP2,Cd-Li-P-Zn,1.0652,5,230075.44819287863
LaTiSbO6,La-O-Sb-Ti,2.7433000000000005,5,6332.001475859913
LaPaO4,La-O-Pa,2.329699999999999,2,8826.357071776354
KBiS2,Bi-K-S,1.4158000000000004,5,175546.09217304675
HoPaO4,Ho-O-Pa,2.4203,2,6241.575559396375
InCuGeS4,Cu-Ge-In-S,1.1346000000000005,2,280232.97123834724
Ho2TeS2,Ho-S-Te,1.7469,3,285657.8390821988
Dy2TeS2,Dy-S-Te,1.8358000000000003,3,274328.34909467044
ErPaO4,Er-O-Pa,2.4341,2,6184.354069649148
CaBiIO2,Bi-Ca-I-O,1.6177,2,65186.78645837366
BiPbBrO2,Bi-Br-O-Pb,1.5539000000000005,2,46183.958987935766
AlAgSnSe4,Ag-Al-Se-Sn,1.1072000000000002,2,181373.1526894633
SnBr2,Br-Sn,1.967,5,23860.9289999832
CaNiF6,Ca-F-Ni,2.1462000000000003,5,95076.35508158176
